first_name,last_name,school,position,height,weight,40time,bench,vert,broad,shuttle,3cone
Jeremy,Liggins,Mississippi,OG,75,315,4.92,,,,,
Jason,King,Purdue,OG,75,303,5.3,,,,,
Geoff,Gray,Manitoba,OG,77,315,5.34,,,,,
Zane,Gonzalez,Arizona State,K,72,202,4.91,,,,,
Jake,Elliott,Memphis,K,69,167,4.79,,,,,
Conrad,Ukropina,Stanford,K,72,190,4.92,,,,,
Rigoberto,Sanchez,Hawaii,K,72,193,4.97,,,,,
Adam,Griffith,Alabama,K,70,183,4.87,,,,,
Matt,Davis,North Carolina-Pembroke,K,72,197,4.94,,,,,
YoungHoe,Koo,Georgia Southern,K,69,182,4.87,,,,,
Bobby,Puyol,Connecticut,K,69,180,4.94,,,,,
Andy,Phillips,Utah,K,70,214,5.12,,,,,
Harrison,Butker,Georgia Tech,K,76,199,4.93,,,,,
Nick,Weiler,North Carolina,K,71,196,4.94,,,,,
Chris,Blewitt,Pittsburgh,K,69,183,4.95,,,,,
Eric,Medina,Texas Southern,K,69,207,5.08,,,,,
Cameron,Van,Washington,K,70,177,4.84,,,,,
Ben,Grogan,Oklahoma State,K,72,184,4.83,,,,,
Tyler,Durbin,Ohio State,K,75,200,4.93,,,,,
Elliott,Fry,South Carolina,K,72,172,4.84,,,,,
Jonathan,Gonzales,Portland State,K,73,199,5.08,,,,,
Jay,Mattox,Texas-El Paso,K,71,176,5.07,,,,,
Matt,Wogan,Oregon,K,73,207,5.05,,,,,
Ty,Cummings,Houston,K,70,183,4.87,,,,,
Henrique,Ribeiro,Chattanooga,K,72,232,5.25,,,,,
Colby,Delahoussaye,LSU,K,69,184,5.08,,,,,
Tyler,Rausa,Boise State,K,69,192,4.87,,,,,
Jack,Mitchell,Northwestern,K,73,218,5.06,,,,,
Matthew,Wyman,Kansas,K,74,206,5.08,,,,,
Nicolai,Bornand,UNLV,K,73,225,5.2,,,,,
Adam,McFain,Arkansas,K,71,184,4.92,,,,,
Lance,Geesey,Saint Francis (PA),K,67,184,4.94,,,,,
Brian,Eavey,Central Michigan,K,73,205,5.19,,,,,
James,DeMartini,Maine,K,70,212,5.15,,,,,
Hunter,Heck,West Georgia,K,69,182,5.12,,,,,
Chad,Levin,Pittsburg State,K,66,155,4.96,,,,,
J.D.,Houston,Arkansas State,K,70,174,4.94,,,,,
Neil,MacInnes,Florida,K,76,226,4.75,,,,,
William,Will,Dayton,K,72,193,5.08,,,,,
Connor,Haskins,North Carolina State,K,67,169,4.9,,,,,
Austin,Johnson,Southern Illinois,K,71,190,4.77,,,,,
Marc,Montana,Buffalo State,K,68,199,5.22,,,,,
Brandon,Behr,South Florida,K,70,185,4.93,,,,,
Stephen,Brauchle,Southern Miss,K,72,233,5.24,,,,,
Brandon,McLaren,North Carolina Central,K,68,170,5.08,,,,,
Ryan,McCrum,Southeast Missouri,K,72,228,,,,,,
Tyler,Blackburn,Northern Michigan,K,72,178,4.93,,,,,
Cameron,Marouf,Norfolk State,K,69,160,,,,,,
Connor,Mitchell,Murray State,K,73,200,5.06,,,,,
Jake,Antel,Mount Union,K,76,175,,,,,,
Chris,Moller,Morgan State,K,71,215,,,,,,
Henry,Darmstadter,Georgetown,K,68,180,,,,,,
John,Gallagher,Elon,K,71,214,,,,,,
Myles,Garrett,Texas AM,DE,76,272,4.64,33,41.0,127,,
Solomon,Thomas,Stanford,DE,75,273,4.69,30,35.0,125,,
Derek,Barnett,Tennessee,DE,75,259,4.88,,31.0,116,,
Taco,Charlton,Michigan,DE,78,277,4.92,25,33.0,115,,
Charles,Harris,Missouri,DE,75,253,4.82,21,33.0,109,,
Carl,Lawson,Auburn,DE,74,261,4.67,35,33.0,113,,
Jordan,Willis,Kansas State,DE,76,255,4.53,24,39.0,124,,
Tarell,Basham,Ohio,DE,76,269,4.7,15,31.5,117,,
Derek,Rivers,Youngstown State,DE,76,248,4.61,30,35.0,123,,
DeMarcus,Walker,Florida State,DE,76,280,4.88,18,,,,
Daeshon,Hall,Texas AM,DE,77,266,4.76,18,36.0,123,,
Tanoh,Kpassagnon,Villanova,DE,79,289,4.83,23,30.0,127,,
Trey,Hendrickson,Florida Atlantic,DE,76,266,4.65,,33.5,122,,
Deatrich,Wise,Arkansas,DE,77,274,4.92,22,33.0,124,,
Dawuane,Smoot,Illinois,DE,75,264,4.77,,29.5,116,,
Joe,Mathis,Washington,DE,74,266,4.86,24,,,,
Hunter,Dimick,Utah,DE,75,268,4.75,,,,,
Bryan,Cox,Florida,DE,75,265,4.89,16,26.5,109,,
Keionta,Davis,Chattanooga,DE,75,271,4.72,,,,,
Keion,Adams,Western Michigan,DE,74,247,4.7,,,,,
Josh,Carraway,Texas Christian,DE,75,242,4.74,25,29.5,120,,
Garrett,Sickels,Penn State,DE,75,261,4.9,20,28.0,104,,
Avery,Moss,Youngstown State,DE,75,264,4.79,14,32.5,113,,
Darius,English,South Carolina,DE,77,248,4.84,,,,,
Isaac,Rochell,Notre Dame,DE,76,280,4.89,25,31.5,113,,
Ifeadi,Odenigbo,Northwestern,DE,75,258,4.72,25,31.5,127,,
Noble,Nwachukwu,West Virginia,DE,73,268,4.83,27,30.5,110,,
Evan,Schwan,Penn State,DE,77,261,4.68,,,,,
Lewis,Neal,LSU,DE,72,261,4.75,,,,,
Fadol,Brown,Mississippi,DE,76,273,4.94,19,34.0,114,,
Johnathan,Calvin,Mississippi State,DE,75,266,4.89,,,,,
Al-Quadin,Muhammad,Miami (FL),DE,75,253,4.88,22,30.5,116,,
Pat,OConnor,Eastern Michigan,DE,76,276,4.84,,,,,
Ken,Ekanem,Virginia Tech,DE,75,257,4.88,,30.5,114,,
Josh,Banks,Wake Forest,DE,75,278,4.9,,,,,
Cameron,Malveaux,Houston,DE,77,273,4.77,,,,,
Karter,Schult,Northern Iowa,DE,75,258,4.93,,,,,
A.J.,Wolf,Duke,DE,75,280,5.02,,,,,
Collin,Bevins,Northwest Missouri State,DE,77,272,5.01,,,,,
Chris,Odom,Arkansas State,DE,76,262,4.83,,,,,
Praise,Martin-Oguike,Temple,DE,72,258,4.88,,,,,
Alex,Barrett,San Diego State,DE,74,252,4.97,,,,,
Corey,Vereen,Tennessee,DE,73,254,4.92,,,,,
Gary,Thompson,Marshall,DE,72,269,4.74,,,,,
Chris,Casher,Faulkner,DE,76,264,4.88,,,,,
Cass,Weitl,Northwest Missouri State,DE,76,266,4.9,,,,,
Mikey,Bart,North Carolina,DE,75,267,4.84,,,,,
Terrence,Waugh,Kent State,DE,73,235,4.93,,,,,
Sydney,Omameh,Grand Valley State,DE,74,236,4.6,,,,,
Caleb,Kidder,Montana,DE,76,269,4.97,,,,,
Jonathan,Allen,Alabama,DT,75,286,5.0,21,30.0,108,,
Malik,McDowell,Michigan State,DT,78,295,4.85,23,28.5,111,,
Chris,Wormley,Michigan,DT,77,298,4.86,23,,,,
Larry,Ogunjobi,Charlotte,DT,75,305,4.97,26,32.0,115,,
Dalvin,Tomlinson,Alabama,DT,75,310,5.19,,27.0,110,,
Montravius,Adams,Auburn,DT,76,304,4.87,22,29.0,108,,
Jaleel,Johnson,Iowa,DT,75,316,5.25,19,28.0,99,,
Nazair,Jones,North Carolina,DT,77,304,5.11,,24.5,100,,
Davon,Godchaux,LSU,DT,75,310,5.27,18,,,,
Caleb,Brantley,Florida,DT,75,307,5.14,21,27.0,104,,
Vincent,Taylor,Oklahoma State,DT,75,304,5.07,26,28.5,108,,
Carlos,Watkins,Clemson,DT,75,309,5.01,25,,,,
Eddie,Vanderdoes,UCLA,DT,75,305,4.99,28,28.5,111,,
Elijah,Qualls,Washington,DT,73,313,5.13,33,31.5,104,,
Ryan,Glasgow,Michigan,DT,75,302,5.13,20,27.5,104,,
Tanzel,Smart,Tulane,DT,73,296,5.24,22,27.0,104,,
Jarron,Jones,Notre Dame,DT,78,316,5.33,22,20.5,,,
Jeremiah,Ledbetter,Arkansas,DT,75,280,4.84,29,32.5,112,,
Grover,Stewart,Albany State,DT,76,347,5.14,,,,,
D.J.,Jones,Mississippi,DT,73,319,5.04,25,28.5,108,,
Stevie,Tuikolovatu,Southern California,DT,73,331,5.45,28,24.5,90,,
Charles,Walker,Oklahoma,DT,74,310,4.96,25,28.0,105,,
Dylan,Bradley,Southern Miss,DT,73,286,5.0,,,,,
Treyvon,Hester,Toledo,DT,74,300,5.09,,,,,
DeAngelo,Brown,Louisville,DT,72,312,5.59,,,,,
Josh,Tupou,Colorado,DT,75,353,5.35,,,,,
Woody,Baron,Virginia Tech,DT,73,275,4.92,,,,,
Matthew,Godin,Michigan,DT,77,295,5.13,,,,,
Winston,Craig,Richmond,DT,75,288,5.02,,,,,
Patrick,Ricard,Maine,DT,75,300,5.03,,,,,
Jordan,Carrell,Colorado,DT,74,290,4.98,,,,,
Rashaad,Coward,Old Dominion,DT,77,322,5.17,,,,,
Jeremy,Faulk,Garden City CC,DT,74,304,5.03,,,,,
Jordan,Wade,Oklahoma,DT,76,319,5.13,,,,,
Josh,Augusta,Missouri,DT,76,347,5.19,,,,,
Patrick,Gamble,Georgia Tech,DT,76,277,4.96,,,,,
Chunky,Clements,Illinois,DT,74,301,5.12,23,,,,
Joey,Ivie,Florida,DT,75,298,5.14,,,,,
Eli,Ankou,UCLA,DT,75,331,5.21,,,,,
Darrien,Howard,West Virginia,DT,72,299,4.96,,,,,
Aaron,Curry,Texas Christian,DT,73,280,4.93,,,,,
Roderick,Henderson,Alabama State,DT,72,339,5.28,,,,,
Pasoni,Tasini,Utah,DT,75,307,5.06,,,,,
Travis,Tuiloma,Brigham Young,DT,74,301,5.07,,,,,
Christian,Brown,West Virginia,DT,74,303,5.39,,,,,
Casey,Sayles,Ohio,DT,76,289,4.99,,,,,
Eddie,Vinson,Emporia State,DT,74,285,5.08,,,,,
Ralph,Green,Indiana,DT,76,318,5.68,,,,,
Francis,Kallon,Georgia Tech,DT,77,295,5.0,,,,,
Harold,Brantley,Northwest Missouri State,DT,74,273,5.1,,,,,
Reuben,Foster,Alabama,ILB,72,229,4.72,,,,,
Jarrad,Davis,Florida,ILB,73,238,4.62,,,,,
Raekwon,McMillan,Ohio State,ILB,74,240,4.61,23,33.0,121,,
Anthony,Walker,Northwestern,ILB,73,238,4.65,23,30.5,115,,
Kendell,Beckwith,LSU,ILB,74,243,4.82,20,,,,
Ben,Gedeon,Michigan,ILB,74,244,4.75,27,34.5,117,,
Blair,Brown,Ohio,ILB,71,238,4.65,,37.0,123,,
Connor,Harris,Lindenwood,ILB,71,242,4.73,18,32.0,113,,
Tanner,Vallejo,Boise State,ILB,73,228,4.67,,33.5,121,,
Hardy,Nickerson,Illinois,ILB,72,232,4.78,18,33.0,115,,
Ben,Boulware,Clemson,ILB,72,238,4.85,20,29.5,111,,
Riley,Bullough,Michigan State,ILB,74,226,4.73,20,31.5,115,,
Harvey,Langi,Brigham Young,ILB,74,251,4.66,23,33.0,116,,
Chase,Allen,Southern Illinois,ILB,75,241,4.6,,,,,
Kenneth,Olugbode,Colorado,ILB,73,222,4.79,,,,,
Trevon,Johnson,Weber State,ILB,72,227,4.55,,,,,
Kevin,Davis,Colorado State,ILB,74,235,4.91,11,30.5,110,,
Brooks,Ellis,Arkansas,ILB,74,240,4.79,18,29.5,114,,
Keith,Kelsey,Louisville,ILB,72,233,4.92,23,29.5,111,,
Charmeachealle,Moore,Kansas State,ILB,71,229,4.63,,,,,
Keith,Brown,Western Kentucky,ILB,72,246,4.88,,,,,
Marcus,Oliver,Indiana,ILB,73,240,4.67,,,,,
Austin,Calitro,Villanova,ILB,72,239,4.67,,,,,
Rodney,Butler,New Mexico State,ILB,72,230,4.76,,,,,
Tim,Kimbrough,Georgia,ILB,71,234,4.76,,,,,
Gage,Steele,James Madison,ILB,73,236,4.81,,,,,
Tau,Lotulelei,UNLV,ILB,72,229,4.83,,,,,
Nyeem,Wartman-White,Penn State,ILB,73,245,4.78,,,,,
Andrew,King,Army,ILB,71,228,4.78,,,,,
P.J.,Davis,Georgia Tech,ILB,69,232,4.63,,,,,
Cody,Heiman,Washburn,ILB,73,229,4.63,,,,,
Shaan,Washington,Texas AM,ILB,75,240,4.82,,,,,
Christian,Tago,San Jose State,ILB,72,237,4.78,,,,,
Folarin,Orimolade,Dartmouth,ILB,71,239,4.92,,,,,
Josh,Banderas,Nebraska,ILB,75,240,4.79,,,,,
Michael,Scherer,Missouri,ILB,74,231,4.82,,,,,
T.J.,Neal,Auburn,ILB,72,236,4.79,,,,,
Tyke,Kozeal,Nebraska-Kearney,ILB,70,232,4.79,,,,,
Aiavion,Edwards,Baylor,ILB,72,224,4.68,,,,,
John,Law,Appalachian State,ILB,71,232,4.75,,,,,
Rommel,Mageo,Mississippi,ILB,73,222,4.82,,,,,
Omar,Howard,Richmond,ILB,72,234,4.73,,,,,
Christophe,Mulumba,Maine,ILB,72,237,4.85,,,,,
Isaako,Savaiinaea,UCLA,ILB,73,241,4.8,,,,,
T.J.,Holloman,South Carolina,ILB,74,232,4.9,,,,,
Jordan,Herdman,Simon Fraser,ILB,71,238,5.03,,,,,
Ben,Weaver,Boise State,ILB,72,228,4.83,,,,,
Chris,Brockman,Colorado Mines,ILB,70,219,4.76,,,,,
Allen,Holman,Shippensburg,ILB,72,231,4.78,,,,,
Noor,Davis,Stanford,ILB,76,241,4.85,,,,,
Haason,Reddick,Temple,OLB,73,237,4.52,24,36.5,133,,
T.J.,Watt,Wisconsin,OLB,76,252,4.69,21,37.0,127,,
Takkarist,McKinley,UCLA,OLB,74,250,4.59,24,33.0,122,,
Zach,Cunningham,Vanderbilt,OLB,75,234,4.67,15,35.0,124,,
Tyus,Bowser,Houston,OLB,75,247,4.65,21,37.5,126,,
Tim,Williams,Alabama,OLB,75,244,4.68,,33.5,123,,
Duke,Riley,LSU,OLB,72,232,4.58,18,34.5,122,,
Ryan,Anderson,Alabama,OLB,74,253,4.78,,,,,
Alex,Anzalone,Florida,OLB,75,241,4.63,16,30.5,115,,
Jayon,Brown,UCLA,OLB,72,231,4.7,17,31.5,120,,
Vince,Biegel,Wisconsin,OLB,75,246,4.67,21,33.5,116,,
Carroll,Phillips,Illinois,OLB,75,242,4.64,23,30.0,123,,
Marquel,Lee,Wake Forest,OLB,75,240,4.78,25,31.0,116,,
Jordan,Evans,Oklahoma,OLB,75,232,4.51,,,,,
Dylan,Cole,Missouri State,OLB,72,239,4.54,,,,,
Matt,Milano,Boston College,OLB,72,223,4.67,24,35.0,125,,
Samson,Ebukam,Eastern Washington,OLB,74,240,4.5,,,,,
Ejuan,Price,Pittsburgh,OLB,71,241,4.84,20,31.5,116,,
Dylan,Donahue,West Georgia,OLB,75,248,4.75,26,29.5,115,,
Elijah,Lee,Kansas State,OLB,74,229,4.72,,,,,
Eric,Wilson,Cincinnati,OLB,73,230,4.53,,,,,
Devonte,Fields,Louisville,OLB,74,236,4.72,,34.0,123,,
Jalen,Reeves-Maybin,Tennessee,OLB,72,230,4.68,,,,,
Brandon,Bell,Penn State,OLB,73,233,4.7,,,,,
Javancy,Jones,Jackson State,OLB,73,239,4.83,,,,,
Calvin,Munson,San Diego State,OLB,73,241,4.79,,,,,
Richie,Brown,Mississippi State,OLB,74,237,4.63,,,,,
Joseph,Jones,Northwestern,OLB,72,231,4.5,,,,,
Pita,Taumoepenu,Utah,OLB,73,243,4.67,24,28.5,111,,
Sae,Tautu,Brigham Young,OLB,74,238,4.61,,,,,
Alex,Scearce,Coastal Carolina,OLB,75,235,4.61,,,,,
Kennan,Gilchrist,Appalachian State,OLB,73,230,4.62,,,,,
James,Onwualu,Notre Dame,OLB,73,228,4.76,,,,,
Lucas,Wacha,Wyoming,OLB,73,225,4.58,,,,,
Paul,Magloire,Arizona,OLB,72,225,4.77,,,,,
Steven,Taylor,Houston,OLB,72,228,4.87,,,,,
Jimmie,Gilbert,Colorado,OLB,76,231,4.68,,,,,
David,Talley,Grand Valley State,OLB,73,236,4.51,,,,,
Johnny,Ragin,Oregon,OLB,74,229,4.76,,,,,
Jameer,Thurman,Indiana State,OLB,72,225,4.59,,,,,
Alex,Armah,West Georgia,OLB,72,244,4.7,,,,,
Deon,Hollins,UCLA,OLB,72,234,4.63,,,,,
Ukeme,Eligwe,Georgia Southern,OLB,74,234,4.58,,,,,
Chad,Geter,Gardner-Webb,OLB,73,234,4.78,,,,,
B.J.,Bello,Illinois State,OLB,74,228,4.56,,,,,
Jordan,Burton,Oklahoma State,OLB,73,217,4.67,,,,,
Christian,Kuntz,Duquesne,OLB,73,232,4.81,,,,,
Otha,Peters,Louisiana,OLB,72,238,4.78,,,,,
Bam,Bradley,Pittsburgh,OLB,72,230,4.54,,,,,
Donavin,Newsom,Missouri,OLB,73,237,4.54,,,,,
Marshon,Lattimore,Ohio State,CB,72,193,4.36,,38.5,132,,
Gareon,Conley,Ohio State,CB,72,195,4.44,11,37.0,128,4.18,6.68
Kevin,King,Washington,CB,75,200,4.43,11,39.5,,3.89,
Chidobe,Awuzie,Colorado,CB,72,202,4.43,16,34.5,132,4.14,6.81
Marlon,Humphrey,Alabama,CB,72,197,4.41,10,,124,,6.75
Adoree,Jackson,Southern California,CB,70,186,4.42,,36.0,122,,
TreDavious,White,LSU,CB,71,192,4.47,16,32.0,117,4.32,6.9
Quincy,Wilson,Florida,CB,73,211,4.54,14,32.0,116,4.02,6.86
Fabian,Moreau,UCLA,CB,72,206,4.35,,38.0,135,4.12,6.94
Jourdan,Lewis,Michigan,CB,70,188,4.54,15,34.5,121,,
Cordrea,Tankersley,Clemson,CB,73,199,4.4,13,29.5,121,4.32,7.0
Teez,Tabor,Florida,CB,72,199,4.62,9,31.0,120,,
Sidney,Jones,Washington,CB,72,186,4.47,,33.5,123,4.28,7.02
Ahkello,Witherspoon,Colorado,CB,75,198,4.45,,40.5,126,4.13,6.93
Cameron,Sutton,Tennessee,CB,71,188,4.52,11,34.0,120,,6.81
Jalen,Myrick,Minnesota,CB,70,200,4.28,13,37.5,123,4.22,7.06
Shaquill,Griffin,Central Florida,CB,72,194,4.38,17,38.5,132,4.14,6.87
Howard,Wilson,Houston,CB,73,184,4.57,,33.5,117,3.94,6.68
Rasul,Douglas,West Virginia,CB,74,209,4.59,16,33.5,120,4.26,6.97
Corn,Elder,Miami (FL),CB,70,183,4.55,,,,,
Brian,Allen,Utah,CB,75,215,4.48,15,34.5,116,4.34,6.64
Damontae,Kazee,San Diego State,CB,70,184,4.54,11,34.0,123,,
Jeremy,Cutrer,Middle Tennessee,CB,73,167,4.52,,,,,
Brendan,Langley,Lamar (TX),CB,72,201,4.43,22,35.5,123,4.21,7.06
Brandon,Wilson,Houston,CB,70,198,4.4,,,,,
Channing,Stribling,Michigan,CB,73,188,4.6,5,31.5,113,4.56,6.94
Aarion,Penton,Missouri,CB,70,198,4.61,,,,,
Marquez,White,Florida State,CB,72,194,4.59,,36.0,123,,
Jeremy,Clark,Michigan,CB,75,221,4.59,20,,,,
Nate,Hairston,Temple,CB,72,196,4.52,14,35.5,116,,
Ezra,Robinson,Tennessee State,CB,71,189,4.47,13,34.0,128,,
William,Likely,Maryland,CB,67,180,4.46,15,,,,
Ashton,Lampkin,Oklahoma State,CB,72,189,4.52,19,34.5,120,,
Treston,DeCoud,Oregon State,CB,74,206,4.62,11,31.0,115,,
Jamal,Agnew,San Diego,CB,69,186,4.34,,,,,
Derrick,Jones,Mississippi,CB,74,189,4.48,,,,,
Des,Lawrence,North Carolina,CB,72,187,4.55,,,,,
Michael,Davis,Brigham Young,CB,74,190,4.4,,,,,
Xavier,Coleman,Portland State,CB,71,189,4.5,,,,,
Jack,Tocho,North Carolina State,CB,72,202,4.54,21,35.0,124,,
Sojourn,Shelton,Wisconsin,CB,69,177,4.51,10,35.0,120,4.02,6.92
Joshua,Holsey,Auburn,CB,70,190,4.48,,,,,
D.J.,Killings,Central Florida,CB,70,187,4.48,,,,,
Torry,McTyer,UNLV,CB,71,178,4.41,,,,,
Tony,Bridges,Mississippi,CB,72,188,4.58,,,,,
Ryan,Lewis,Pittsburgh,CB,71,192,4.37,,,,,
Josh,Thornton,Southern Utah,CB,71,181,4.42,,,,,
Najee,Murray,Kent State,CB,69,182,4.54,,,,,
Arthur,Maulet,Memphis,CB,70,189,4.62,18,34.5,120,,
Greg,Mabin,Iowa,CB,73,200,4.54,,,,,
Malik,Hooker,Ohio State,FS,73,206,4.47,,,,,
Budda,Baker,Washington,FS,70,195,4.45,15,32.5,114,4.08,6.76
Marcus,Williams,Utah,FS,73,202,4.56,14,43.5,128,4.2,6.85
Marcus,Maye,Florida,FS,72,207,4.47,,,,,
Desmond,King,Iowa,FS,70,201,4.6,14,34.0,116,4.18,6.67
Delano,Hill,Michigan,FS,73,216,4.47,17,33.5,114,4.27,6.96
John,Johnson,Boston College,FS,73,205,4.54,14,37.0,117,4.18,6.72
Rayshawn,Jenkins,Miami (FL),FS,73,214,4.51,19,37.0,127,,
David,Jones,Richmond,FS,73,205,4.43,,,,,
Johnathan,Ford,Auburn,FS,71,205,4.4,20,,,,
Chuck,Clark,Virginia Tech,FS,72,208,4.54,16,34.0,122,4.07,6.85
Kai,Nacua,Brigham Young,FS,73,205,4.49,,,,,
Casey,DeAndrade,New Hampshire,FS,71,212,4.46,,,,,
Fish,Smithson,Kansas,FS,70,201,4.55,,,,,
Jason,Thompson,Utah,FS,73,210,4.45,,,,,
Michael,Tyson,Cincinnati,FS,73,204,4.56,17,33.0,116,,
Demetrious,Cox,Michigan State,FS,72,200,4.55,,,,,
Branden,Leston,Western Kentucky,FS,74,202,4.49,,,,,
Leon,McQuay,Southern California,FS,73,197,4.58,,,,,
Randall,Goforth,UCLA,FS,70,186,4.55,,,,,
Malik,Golden,Penn State,FS,72,201,4.5,,,,,
Rickey,Jefferson,LSU,FS,71,208,4.59,,,,,
Adrian,Colbert,Miami (FL),FS,72,200,4.49,,,,,
Charlie,Miller,Dartmouth,FS,72,190,4.47,,,,,
Deron,Washington,Pittsburg State,FS,72,215,4.43,,,,,
Khari,Vanderbilt,California,FS,73,193,4.61,,,,,
Jacques,Bryant,Florida AM,FS,71,206,4.42,,,,,
Dylan,Haines,Texas,FS,72,192,4.64,,,,,
Dominique,Green,North Carolina,FS,70,187,4.58,,,,,
Richie,Sampson,Coastal Carolina,FS,74,201,4.5,,,,,
Tellas,Jones,Arizona,FS,72,192,4.62,,,,,
Jordan,Bowman,California (PA),FS,71,206,4.59,,,,,
Justin,Ferguson,Western Michigan,FS,73,202,4.59,,,,,
Terrence,Singleton,Prairie View AM,FS,70,201,4.53,,,,,
Kenny,Keys,UNLV,FS,76,200,4.74,,,,,
Devin,Centers,Utah State,FS,69,202,4.67,,,,,
Deondre,Singleton,Duke,FS,71,196,4.64,,,,,
Nate,L.,Temple,FS,71,182,4.68,,,,,
Tevin,Shaw,Kansas,FS,70,194,4.68,,,,,
Terrish,Webb,Pittsburgh,FS,71,190,4.55,,,,,
Marquez,Gollman,Grand Valley State,FS,70,186,4.61,,,,,
Daniel,Henry,New Mexico,FS,72,186,4.53,,,,,
Khary,Baily-Smith,Massachusetts,FS,73,200,4.66,,,,,
Connery,Swift,Toledo,FS,69,199,4.67,,,,,
A.J.,Leggett,West Georgia,FS,71,193,4.69,,,,,
Blake,McClain,Kentucky,FS,71,193,4.59,,,,,
Aaron,Peak,Butler County CC,FS,69,193,4.6,,,,,
Chaz,Elder,South Carolina,FS,74,205,4.64,,,,,
Reggie,Mitchell,Pittsburgh,FS,71,188,4.67,,,,,
Jihaad,Pretlow,Fordham,FS,70,200,4.67,,,,,
Jamal,Adams,LSU,SS,72,214,4.56,18,31.5,120,4.13,6.96
Jabrill,Peppers,Michigan,SS,71,213,4.46,19,35.5,127,,
Josh,Jones,North Carolina State,SS,73,220,4.41,20,37.5,132,,
Obi,Melifonwu,Connecticut,SS,76,224,4.4,17,44.0,140,,
Eddie,Jackson,Alabama,SS,72,201,4.53,10,,,,
Justin,Evans,Texas AM,SS,72,199,4.6,14,,,,
Xavier,Woods,Louisiana Tech,SS,71,197,4.54,19,33.5,122,4.13,6.72
Tedric,Thompson,Colorado,SS,72,204,4.6,17,32.5,116,4.36,7.11
Jadar,Johnson,Clemson,SS,72,206,4.6,19,33.0,117,4.2,6.9
Lorenzo,Jerome,Saint Francis (PA),SS,70,204,4.7,11,,,4.68,7.63
Montae,Nicholson,Michigan State,SS,74,212,4.42,,35.0,124,,
Dallas,Lloyd,Stanford,SS,73,207,4.67,,,,,
Josh,Harvey-Clemons,Louisville,SS,76,217,4.76,12,31.5,121,,
Shalom,Luani,Washington State,SS,71,202,4.55,12,31.0,115,4.21,6.87
Dymonte,Thomas,Michigan,SS,71,194,4.5,,,,,
Nate,Gerry,Nebraska,SS,74,218,4.58,17,30.5,122,,
Damarius,Travis,Minnesota,SS,73,206,4.65,13,32.5,114,4.28,7.08
Jordan,Sterns,Oklahoma State,SS,71,198,4.67,,,,,
Donald,Payne,Stetson,SS,72,217,4.55,,,,,
Ahmad,Thomas,Oklahoma,SS,72,214,4.68,,,,,
Dante,Barnett,Kansas State,SS,72,192,4.67,,,,,
Jamal,Carter,Miami (FL),SS,73,218,4.64,19,35.0,122,,
Quincy,Mauger,Georgia,SS,72,208,4.6,,,,,
DNerius,Antoine,Southern Miss,SS,71,222,4.62,,,,,
Leo,Musso,Wisconsin,SS,69,189,4.59,,,,,
Dorian,Williams,Princeton,SS,70,203,4.66,,,,,
Maurice,Smith,Georgia,SS,72,194,4.63,,,,,
Ironhead,Gallon,Georgia Southern,SS,69,204,4.57,,,,,
Orion,Stewart,Baylor,SS,72,203,4.58,,,,,
Weston,Steelhammer,Air Force,SS,73,197,4.77,,,,,
Tony,Annese,Central Michigan,SS,72,226,4.64,,,,,
Marcus,McWilson,Kentucky,SS,72,198,4.57,,,,,
Corbin,McCarthy,Duke,SS,69,206,4.41,,,,,
Drico,Johnson,Central Florida,SS,73,200,4.6,,,,,
Viliami,Moeakiola,Arizona State,SS,72,210,4.57,,,,,
Damariay,Drew,California,SS,71,205,4.6,,,,,
DeJuan,Rogers,Toledo,SS,72,194,4.7,,,,,
Malik,Smith,San Diego State,SS,72,195,4.58,,,,,
Nicholas,Morrow,Greenville,SS,72,216,4.52,,,,,
Derrick,Moncrief,Oklahoma State,SS,74,215,4.55,,,,,
Zach,Edwards,Cincinnati,SS,71,203,4.76,,,,,
Denzel,Johnson,Texas Christian,SS,72,198,4.67,,,,,
Tony,Conner,Mississippi,SS,72,214,4.74,,,,,
Chanceller,James,Boise State,SS,74,215,4.61,,,,,
Kivon,Coman,Mississippi State,SS,72,209,4.54,,,,,
Hatari,Byrd,Texas AM-Commerce,SS,72,207,4.66,,,,,
Reggie,Daniels,Oregon,SS,72,201,4.59,,,,,
Chris,Humes,Arkansas State,SS,72,201,4.56,,,,,
Martez,Hester,Ball State,SS,73,210,4.57,,,,,
Anthony,Cioffi,Rutgers,SS,71,205,4.55,,,,,
Austin,Rehkow,Idaho,P,75,214,4.84,,,,,
Justin,Vogel,Miami (FL),P,76,219,4.7,,34.0,,,
Kenny,Allen,Michigan,P,75,218,4.98,,,,,
Cameron,Johnston,Ohio State,P,71,194,4.92,,,,,
Miles,Bergner,South Dakota,P,72,235,5.2,,,,,
Hayden,Hunt,Colorado State,P,72,212,5.09,,,,,
Toby,Baker,Arkansas,P,75,210,5.0,,,,,
Nicholas,Conte,Virginia,P,74,225,5.08,,,,,
Chris,Fraser,Cornell,P,73,209,5.12,,,,,
Eric,Keena,North Texas,P,73,170,4.87,,,,,
Dalton,Schomp,Florida Atlantic,P,73,206,4.96,,,,,
Alex,Boy,Nevada,P,75,221,5.02,,,,,
Tate,Lewis,Southern Utah,P,78,230,5.27,,,,,
Christian,Faber-Kinney,Hampton,P,73,205,4.95,,,,,
