first_name,last_name,school,position,height,weight,40time,bench,vert,broad,shuttle,3cone
Scott,Orndoff,Pittsburgh,TE,77,253,4.84,17,27.0,111,4.45,7.37
Steven,Wroblewski,Southern Utah,TE,79,252,4.64,,,,,
Jake,Maulhardt,Wyoming,TE,77,241,4.71,,,,,
Jonathan,Dorsey,Alabama AM,TE,78,234,4.63,,,,,
Hayden,Plinke,Texas-El Paso,TE,76,264,4.97,18,28.0,109,4.59,7.55
Mason,Schreck,Buffalo,TE,76,253,4.76,,,,,
Andy,Avgi,Western Oregon,TE,77,263,4.83,,,,,
Taylor,McNamara,Southern California,TE,76,252,4.78,,,,,
Antony,Auclair,Laval,TE,77,256,4.9,,,,,
Billy,Freeman,San Jose State,TE,75,236,4.74,,,,,
Sean,Culkin,Missouri,TE,77,255,4.71,,,,,
Derrick,Griffin,Texas Southern,TE,78,248,4.82,,,,,
Standish,Dobard,Miami (FL),TE,75,254,4.73,,,,,
Colin,Jeter,LSU,TE,78,251,4.77,,,,,
Zach,Conque,Stephen F. Austin,TE,77,232,4.59,,,,,
Romond,Deloatch,Temple,TE,76,231,4.77,,,,,
Wyatt,Houston,Utah State,TE,76,250,4.82,,,,,
Colin,Thompson,Temple,TE,76,254,5.01,,,,,
Jamal,Lyles,Michigan State,TE,75,246,4.81,,,,,
Tyrone,Swoopes,Texas,TE,76,246,4.75,,,,,
Barrett,Burns,Appalachian State,TE,75,249,4.99,,,,,
Evan,Baylis,Oregon,TE,77,244,4.87,,,,,
Corey,Davis,Western Michigan,WR,75,209,4.48,,,,,
John,Ross,Washington,WR,71,188,4.22,,37.0,133,,
Mike,Williams,Clemson,WR,76,218,4.54,15,32.5,121,,
Curtis,Samuel,Ohio State,WR,71,196,4.31,18,37.0,117,4.33,7.09
Chris,Godwin,Penn State,WR,73,209,4.42,19,36.0,125,4.0,7.01
Zay,Jones,East Carolina,WR,74,201,4.45,15,36.5,133,4.01,6.79
ArDarius,Stewart,Alabama,WR,71,204,4.49,,34.0,123,,
Cooper,Kupp,Eastern Washington,WR,74,204,4.62,,31.0,115,4.08,6.75
JuJu,Smith-Schuster,Southern California,WR,73,215,4.54,15,32.5,120,,
Amara,Darboh,Michigan,WR,74,214,4.45,17,36.0,123,,
Chad,Hansen,California,WR,74,202,4.53,11,35.0,117,4.13,6.74
Josh,Malone,Tennessee,WR,75,208,4.4,10,30.5,121,4.19,7.05
Carlos,Henderson,Louisiana Tech,WR,71,199,4.46,13,36.0,129,4.35,7.18
Taywan,Taylor,Western Kentucky,WR,71,203,4.5,13,33.5,132,4.21,6.57
Dede,Westbrook,Oklahoma,WR,72,178,4.39,,,,,
Shelton,Gibson,West Virginia,WR,71,191,4.5,8,32.0,116,4.2,6.83
Josh,Reynolds,Texas AM,WR,75,194,4.52,,37.0,123,4.13,6.83
Mack,Hollins,North Carolina,WR,76,221,4.53,,,,,
KD,Cannon,Baylor,WR,71,182,4.41,13,37.0,117,,
Isaiah,Ford,Virginia Tech,WR,73,194,4.61,14,35.5,126,4.34,6.94
Kenny,Golladay,Northern Illinois,WR,76,218,4.5,18,35.5,120,4.15,7.0
Malachi,Dupre,LSU,WR,74,196,4.52,11,39.5,135,4.26,7.19
Isaiah,McKenzie,Georgia,WR,67,173,4.42,11,36.0,123,4.15,6.64
Ryan,Switzer,North Carolina,WR,68,181,4.51,11,32.0,115,4.0,6.77
Ishmael,Zamora,Baylor,WR,75,224,4.53,,,,,
Chad,Williams,Grambling State,WR,72,207,4.43,,,,,
Noah,Brown,Ohio State,WR,74,222,4.56,19,,,4.33,7.07
Stacy,Coley,Miami (FL),WR,73,195,4.45,10,34.0,122,,
Robert,Davis,Georgia State,WR,75,219,4.44,19,41.0,135,4.28,6.82
Travis,Rudolph,Florida State,WR,72,189,4.65,12,31.5,113,4.46,6.93
Amba,Etta-Tawo,Syracuse,WR,73,208,4.49,14,31.0,125,4.32,6.95
Rodney,Adams,South Florida,WR,73,189,4.44,8,29.5,124,4.28,6.98
Artavis,Scott,Clemson,WR,70,193,4.61,13,31.0,115,4.49,7.19
Damoreea,Stringfellow,Mississippi,WR,74,218,4.62,,,,,
Michael,Rector,Stanford,WR,72,193,4.42,,36.5,128,4.19,6.77
Jehu,Chesson,Michigan,WR,75,204,4.47,10,35.5,132,4.09,6.7
Quincy,Adeboyejo,Mississippi,WR,75,197,4.42,8,34.5,123,4.14,6.73
DeAngelo,Yancey,Purdue,WR,74,220,4.53,,,,,
Tim,Patrick,Utah,WR,76,208,4.47,,,,,
Travin,Dural,LSU,WR,73,202,4.57,,30.5,115,4.55,7.29
Jamari,Staples,Louisville,WR,75,195,4.51,,36.0,128,,
Fred,Ross,Mississippi State,WR,73,213,4.51,10,35.0,112,4.28,6.99
Robert,Tonyan,Indiana State,WR,77,236,4.58,,,,,
Trent,Taylor,Louisiana Tech,WR,68,181,4.63,13,33.0,116,4.01,6.74
Keevan,Lucas,Tulsa,WR,69,192,4.55,11,32.5,117,4.43,7.23
Krishawn,Hogan,Marian,WR,75,222,4.56,13,36.5,123,4.21,6.74
Bug,Howard,North Carolina,WR,76,221,4.58,,37.5,117,4.14,6.95
Austin,Carr,Northwestern,WR,72,202,4.62,,,,,
Kenneth,Walker,UCLA,WR,69,188,4.3,,,,,
Francis,Owusu,Stanford,WR,74,221,4.37,,,,,
Pat,Elflein,Ohio State,C,75,303,5.32,22,23.5,99,4.71,7.94
Ethan,Pocic,LSU,C,78,310,5.15,26,27.0,107,4.81,7.89
Tyler,Orlosky,West Virginia,C,75,298,5.39,24,,,,
Kyle,Fuller,Baylor,C,77,307,5.24,23,26.0,96,4.84,7.71
Cameron,Tom,Southern Miss,C,75,291,4.89,,,,,
Jon,Toth,Kentucky,C,77,307,5.51,21,25.5,100,4.84,8.09
Brandon,Kublanow,Georgia,C,74,300,5.27,,,,,
Cam,Keizur,Portland State,C,75,303,5.13,,,,,
